Model,cluster_id,cluster_label,n_images,F1_mean,F1_lo,F1_hi,F1_pixel,Precision_pixel,Recall_pixel,FPR_pixel
U-Net,4,SENTINEL: Moderate sea,558,0.500508324731986,0.4685544593180868,0.533620512515995,0.7647062415397867,0.7428068403329005,0.787937203777373,0.18284855022616606
U-Net,5,SENTINEL: Calm sea / low-wind,12,0.5764990908095129,0.32391555438911795,0.8283224284616156,0.8382983736633125,0.7497455794411159,0.950571984836496,0.432193016867665
ViT-UNet,0,PALSAR: Calm sea / low-wind,81,0.21984534728583696,0.1471316699784514,0.29793463286181404,0.5864383388162574,0.7724072649813758,0.47264302263367286,0.05022959921577029
ViT-UNet,1,PALSAR: Rough sea / high-wind,360,0.10023224938384258,0.07536285154829475,0.1271567469275066,0.39094720986141396,0.9378581038870639,0.24694306011454603,0.0028985267353866333
ViT-UNet,2,PALSAR: Moderate sea,335,0.17362356115772096,0.14433122349049932,0.20703632159922547,0.4284021676469171,0.8749374882782927,0.28364226823963296,0.010866311590097873
ViT-UNet,3,SENTINEL: Rough sea / high-wind,269,0.23717720824044447,0.1938789222160559,0.28046190392088066,0.6726004045984744,0.9011899836130494,0.536512997977127,0.022100894158855675
ViT-UNet,4,SENTINEL: Moderate sea,558,0.48532909818647907,0.4523434751977046,0.5170155455801424,0.7885446492588468,0.8099637579155631,0.7682301399544506,0.12080324038349712
ViT-UNet,5,SENTINEL: Calm sea / low-wind,12,0.5744504962940815,0.31521153886519987,0.8235748189126197,0.9046960643164028,0.8647641604783624,0.9484954437031309,0.2020478619058374
ViT-UNet (4-skip),0,PALSAR: Calm sea / low-wind,81,0.33071164938913883,0.26192828903967913,0.4075901838263962,0.6508836539141152,0.6867558780027034,0.6185738207681539,0.10176220243831095
ViT-UNet (4-skip),1,PALSAR: Rough sea / high-wind,360,0.30885350766685776,0.2744811921012184,0.3428457087717798,0.635495273581736,0.8024615564188223,0.5260434466395179,0.022939403795505808
ViT-UNet (4-skip),2,PALSAR: Moderate sea,335,0.429021811214262,0.39638843000760604,0.4624225561310695,0.6444361546612402,0.660725801896793,0.6289313486740712,0.08655534490213217
ViT-UNet (4-skip),3,SENTINEL: Rough sea / high-wind,269,0.3928587534462443,0.3492228106214533,0.43771164545533486,0.7563908340349764,0.7789488330026632,0.7351035454156751,0.07837496860740034
ViT-UNet (4-skip),4,SENTINEL: Moderate sea,558,0.5880183247244936,0.561077784256459,0.6131446295970528,0.7651866030453447,0.670690947920736,0.8906780387407955,0.2931017172674662
ViT-UNet (4-skip),5,SENTINEL: Calm sea / low-wind,12,0.6244918791384785,0.38595430993184665,0.8466982236824858,0.7828828239232425,0.6466935979118956,0.9917370367355053,0.738030600232491
